nside,source,level,scenario,method,n_gal,n_rand,A_add,A_mult,A_tot,dA_add,dA_mult,dA_tot,A_over_dA,bias_contaminated,bias_recovered,improvement
32,glass,medium,combined,MCMC-comb,241930,2422599,0.08730312199693467,0.09546573637046454,0.12936592260393265,0.03831152365759218,0.07065902951839313,0.08037705703400316,1.6094881720937475,5.209896811037701,1.1479311388859295,4.538509876205572
32,glass,high,additive,OLS,241930,2422599,0.17460624399386934,0.0,0.17460624399386934,0.08253415473111063,0.0,0.08253415473111063,2.115563484750306,21.753040510923324,0.6367938532403316,34.16025515986495
32,glass,high,additive,ISD-1,241930,2422599,0.17460624399386934,0.0,0.17460624399386934,0.083543090246965,0.0,0.083543090246965,2.0900141888181176,21.753040510923324,0.7554593665767841,28.794454703094036
32,glass,high,additive,ElasticNet,241930,2422599,0.17460624399386934,0.0,0.17460624399386934,0.08328382056208933,0.0,0.08328382056208933,2.096520582454521,21.753040510923324,0.6068179179767395,35.847722795418775
32,glass,high,additive,MCMC-add,241930,2422599,0.17460624399386934,0.0,0.17460624399386934,0.08245510879624274,0.0,0.08245510879624274,2.1175915785320716,21.753040510923324,0.7083726164634764,30.70847179204154
32,glass,high,additive,MCMC-comb,241930,2422599,0.17460624399386934,0.0,0.17460624399386934,0.08239504594851683,0.02325223182875802,0.08561314082473852,2.039479480741298,21.753040510923324,0.9492342034659658,22.916410335295367
32,glass,high,multiplicative,OLS,241930,2422599,0.0,0.1909314727409291,0.1909314727409291,0.005200700865643051,0.1909314727409291,0.19100228944312173,0.9996292363698932,0.4818676033474759,0.43628344327412316,1.1044829016000766
32,glass,high,multiplicative,ISD-1,241930,2422599,0.0,0.1909314727409291,0.1909314727409291,0.005199279696880473,0.1909314727409291,0.1910022507521483,0.9996294388629428,0.4818676033474759,0.45803300337299657,1.052036861533905
32,glass,high,multiplicative,ElasticNet,241930,2422599,0.0,0.1909314727409291,0.1909314727409291,0.0,0.1909314727409291,0.1909314727409291,1.0,0.4818676033474759,0.4818676033476066,0.9999999999997288
32,glass,high,multiplicative,MCMC-add,241930,2422599,0.0,0.1909314727409291,0.1909314727409291,0.005276136010374549,0.1909314727409291,0.19100435831210794,0.9996184088581908,0.4818676033474759,0.4301161378161042,1.120319748508246
32,glass,high,multiplicative,MCMC-comb,241930,2422599,0.0,0.1909314727409291,0.1909314727409291,0.0039909133193105,0.07540673386671803,0.07551226987429453,2.5284827625864406,0.4818676033474759,0.581504056590014,0.8286573376171884
32,glass,high,combined,OLS,241930,2422599,0.17460624399386934,0.1909314727409291,0.2587318452078653,0.08315490807365557,0.1909314727409291,0.20825360986008923,1.24238828504192,21.472031589177416,0.6754928221992326,31.787209106486063
32,glass,high,combined,ISD-1,241930,2422599,0.17460624399386934,0.1909314727409291,0.2587318452078653,0.08417179586378702,0.1909314727409291,0.20866173224133644,1.2399582924415589,21.472031589177416,0.5987381121921221,35.86214264958551
