k,mode,mock_id,n_galaxies,lrt_lambda,lrt_reject,lrt_correct,snr_a,snr_b,a_true,b_true,a_hat,b_hat,tp,fp
3,additive,2,248298,3.2819650932451623,False,True,"[2.3595190017613095, 2.447163826788394, 13.461053376219663, 3.7342922182776785]","[0.6691424056703582, 1.6446872768875116, 0.542143729232646, 0.1345927097076194]","[0.01495019891880212, -0.03320039037497186, -0.07916879359096, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.017116148886623814, -0.017488457981654704, -0.09861554304392933, -0.02675721292497876]","[0.005285778587491135, 0.012712355086491642, -0.004579641476709849, 0.0011052335282017059]",1.0,1.0
3,additive,3,255424,57.66871044155596,True,False,"[32.7547170541185, 20.172063398762948, 22.753896635160466, 1.8126341885175712]","[3.4638136432303086, 2.545669571133898, 6.55947207749734, 0.7904232373537932]","[0.20900700254792484, 0.12588809070812576, 0.12861663819875063, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.1952284363994711, 0.11863316434559407, 0.13686911600165244, 0.010706550414005837]","[0.026247914855375726, 0.020042755609440927, 0.048132616814274456, -0.006037850133973053]",1.0,0.0
3,additive,4,244697,68.21431160122847,True,False,"[64.16494733467496, 10.75741865790124, 32.571778316227466, 0.669348484454507]","[8.299246809168494, 1.083305645955042, 1.7386467275069595, 0.17421505099504322]","[0.4401236655735646, -0.08220895841820706, 0.2960607476721739, 0.0]","[0.0, 0.0, 0.0, 0.0]","[0.4152367933189956, -0.06850135823877486, 0.2117725582202296, 0.004276650242532702]","[0.0662593802530343, -0.008306335447156914, 0.014079997566446045, -0.0014391856360821897]",1.0,0.0
3,multiplicative,0,230330,986.9454639033047,True,True,"[2.736302307309983, 0.004804788990811113, 1.8355785463415346, 6.172488802735068]","[29.86289992899167, 12.247713402612764, 14.998129882582418, 2.3886774434862663]","[0.0, 0.0, 0.0, 0.0]","[0.2361961714752195, 0.11149250800542286, -0.14548332263364863, 0.0]","[-0.017266333747697062, -2.9891233123198557e-05, 0.01169927370846654, -0.03846285849942648]","[0.1786788324649636, 0.08362628992091277, -0.10256757215884292, -0.016959884004506893]",1.0,1.0
3,multiplicative,1,231628,258.2424913821287,True,True,"[2.6752571458601335, 1.7563490951195286, 0.12326817358260396, 0.9269574212221797]","[0.45602473216784095, 15.862253725899667, 3.804368791638655, 1.055769597884366]","[0.0, 0.0, 0.0, 0.0]","[0.03523757588638098, 0.1418699975864273, -0.11189400901200909, 0.0]","[-0.017678104462843302, -0.011423587004985653, 0.0008167681106591224, 0.006048119686277232]","[-0.0035656774957275187, 0.1204818086113587, -0.027698491347192954, 0.008186536023061129]",0.6666666666666666,0.0
3,multiplicative,2,248360,94.64267942946026,True,True,"[0.1812872618700486, 1.8755630172778137, 3.195543750250153, 3.758986626689574]","[2.7532304495003395, 1.3547890026848997, 9.590114783492217, 0.3491341841202476]","[0.0, 0.0, 0.0, 0.0]","[0.01495019891880212, -0.03320039037497186, -0.07916879359096, 0.0]","[0.001323603360058462, 0.013490502575272926, -0.023562376278204344, -0.0271088659890818]","[0.022265930726155674, -0.010194090639959132, -0.07870619348408299, -0.0028035958716260898]",0.6666666666666666,0.0
3,multiplicative,3,254147,1198.2407302568317,True,True,"[1.603860272377093, 1.2039454760634007, 5.081199409632816, 1.5721465192596806]","[31.547604908138013, 16.460846126562835, 23.573467950753475, 0.06952271918920784]","[0.0, 0.0, 0.0, 0.0]","[0.20900700254792484, 0.12588809070812576, 0.12861663819875063, 0.0]","[0.010089674279149502, 0.007473155203902679, 0.03225947630500489, 0.009801077204971063]","[0.16242171493058116, 0.10080723924544278, 0.13851700156225707, 0.0004687733015417699]",1.0,0.0
3,multiplicative,4,237026,2117.455481367475,True,True,"[1.8453965362489007, 0.962570341961874, 6.997402580065386, 0.07320057504980611]","[59.93180491900409, 4.66340042719497, 20.84793022194211, 0.84022996218132]","[0.0, 0.0, 0.0, 0.0]","[0.4401236655735646, -0.08220895841820706, 0.2960607476721739, 0.0]","[0.014001471820386436, 0.0071863702933343, -0.0533397623726647, 0.0005483425474943095]","[0.21633583191732375, -0.02629217100427594, 0.1336371211322782, -0.006453533356830232]",1.0,0.0
3,combined,0,233383,1015.8087365025585,True,True,"[37.41060745938923, 20.451406553705564, 25.425374993812277, 6.240070680743976]","[1.1819503630059722, 1.540743245156557, 59.540255781515874, 2.7638107589224004]","[0.2361961714752195, 0.11149250800542286, -0.14548332263364863, 0.0]","[-0.031800667404401566, -0.04300948785018189, 0.3543628380320611, 0.0]","[0.22816101500254626, 0.12297117404765516, -0.15662602305110535, -0.03758212915521009]","[0.008889361924461858, -0.01066855138909417, 0.21396457151244433, -0.020416664722666324]",1.0,1.0
3,combined,1,232441,913.9914588190841,True,True,"[3.2824679611452146, 21.238759231811148, 14.858265373455614, 0.8645503030907531]","[0.2637730330116759, 2.756649351043872, 43.27106549785439, 0.8069607961096498]","[0.03523757588638098, 0.1418699975864273, -0.11189400901200909, 0.0]","[0.03171847748335711, 0.009327663071226691, 0.21275312730438364, 0.0]","[0.02267288280606487, 0.1443965704226962, -0.10290867982881091, 0.0058964000708439665]","[0.0019589309516091983, 0.020650773023801822, 0.20180088890068265, 0.005514103159163309]",1.0,0.0
3,combined,2,248795,729.239643426552,True,True,"[2.6779869825774645, 2.9044423565468542, 14.182617350144632, 3.2894446376048534]","[25.75367837126881, 6.073471659193081, 18.526784357007827, 1.0037941849021002]","[0.01495019891880212, -0.03320039037497186, -0.07916879359096, 0.0]","[0.17645934665776256, -0.05963685673819899, -0.11865757124813925, 0.0]","[0.01989498198191353, -0.021257086863719472, -0.10640823070988055, -0.024138354915185765]","[0.16282992346305783, -0.04378740895914655, -0.13788929910676886, 0.007490833928535935]",1.0,1.0
3,combined,3,255762,652.4061961460684,True,True,"[32.67839113113025, 20.954414404486617, 24.501014942256752, 0.9075269560207111]","[8.349501450686523, 17.840604826055834, 20.638041066839808, 1.1049414996322149]","[0.20900700254792484, 0.12588809070812576, 0.12861663819875063, 0.0]","[0.04863026324974986, 0.12364803488403338, 0.09312050937350408, 0.0]","[0.19981233509451546, 0.12642231057629416, 0.15119107723762468, 0.005499096459406662]","[0.05901836861671713, 0.12364549853732712, 0.12676127163147022, -0.007995550952909132]",1.0,0.0
3,combined,4,248125,516.4058271284011,True,True,"[62.56694393074993, 11.319112044066632, 29.99080934475392, 1.371306897429258]","[5.3745214223219016, 17.23399799156248, 14.403644748653436, 0.8728713494145371]","[0.4401236655735646, -0.08220895841820706, 0.2960607476721739, 0.0]","[-0.036624700157205946, -0.15326080668654973, -0.14424185711448628, 0.0]","[0.40734347287568684, -0.07251390672751588, 0.19617074050504968, 0.008814627066783253]","[0.041429228350263365, -0.12796561767584047, -0.10716369318459523, 0.006783891995517333]",1.0,0.0
